filename,journal,author1name,author1discipline,citationcount,journalhindex,year,doiurl
Schlipphak Meiners Treib and Schafer Journal of European Public Policy 2023.pdf,Journal of European Public Policy,Schlipphak,Political Science,13,132,2023,https://doi.org/10.1080/13501763.2022.2102671
Sedelmeier JCMS Journal of Common Market Studies 2014.pdf,JCMS Journal of Common Market Studies,Sedelmeier,Political Science,462,106,2014,https://doi.org/10.1111/jcms.12082
Sedelmeier Journal of European Public Policy 2017.pdf,Journal of European Public Policy,Sedelmeier,Political Science,180,132,2017,https://doi.org/10.1080/13501763.2016.1229358
Sedelmeier Journal of European Public Policy 2024.pdf,Journal of European Public Policy,Sedelmeier,Political Science,7,132,2024,https://doi.org/10.1080/13501763.2023.2198569
Serra Taiwan Journal of Democracy 2012.pdf,Taiwan Journal of Democracy,Serra,Political Science,46,,2012,https://gente.itam.mx/emagar/cv/cites/estevezEtalElecStud/serraElecRefMexico2012tjd.pdf
Shinar American Journal of Comparative Law 2021.pdf,American Journal of Comparative Law,Shinar,Law,10,48,2021,https://doi.org/10.1093/ajcl/avab004
Sitter and Bakke 2019 Oxford Research Encyclopedia of Politics.pdf,Oxford Research Encyclopedia of Politics,Sitter,Public Policy,38,,2019,https://doi.org/10.1093/acrefore/9780190228637.013.1476
Skrzypek Polish Political Science Yearbook 2021.pdf,Polish Political Science Yearbook,Skrzypek,Political Science,22,,2021,https://doi.org/10.15804/ppsy202103
Sonmez Politikon The IAPSS Journal of Political Science 2020.pdf,Politikon The IAPSS Journal of Political Science,Sonmez,Business,2,,2020,https://doi.org/10.22151/politikon.46.3
Stanley Journal of Contemporary European Research 2019.pdf,Journal of Contemporary European Research,Stanley,Sociology,56,22,2019,https://doi.org/10.30950/jcer.v15i4.1122
Szikra and Oktem Journal of European Social Policy 2023.pdf,Journal of European Social Policy,Szikra,Political Science,11,85,2023,https://doi.org/10.1177/09589287221141365
Tansel South European Society and Politics 2018.pdf,South European Society and Politics,Tansel,Political Science,229,52,2018,https://doi.org/10.1080/13608746.2018.1479945
Theuns Global Justice Theory Practice Rhetoric 2020.pdf,Global Justice Theory Practice Rhetoric,Theuns,Political Science,17,,2020,https://www.theglobaljusticenetwork.org/index.php/gjn/article/download/220/187
Theuns Res Publica 2022.pdf,Res Publica,Theuns,Political Science,15,24,2022,https://doi.org/10.1007/s11158-021-09537-w
Vachudova East European Politics 2020.pdf,East European Politics,Vachudova,Political Science,217,30,2020,https://doi.org/10.1080/21599165.2020.1787163
VonDoepp African Studies Review 2020.pdf,African Studies Review,VonDoepp,Political Science,10,54,2020,https://doi.org/10.1017/asr.2019.62
Waldner Lust Annual Review of Political Science 2018.pdf,Annual Review of Political Science,Waldner,Political Science,640,129,2018,https://doi.org/10.1146/annurev-polisci-050517-114628
Weiss Asian Journal of Comparative Politics 2024.pdf,Asian Journal of Comparative Politics,Weiss,Political Science,6,11,2024,https://doi.org/10.1177/20578911221136066
Wolkenstein Constellations 2023.pdf,Constellations,Wolkenstein,Political Science,20,1,2023,https://doi.org/10.1111/1467-8675.12627
Wolkenstein Global Constitutionalism 2022.pdf,Global Constitutionalism,Wolkenstein,Political Science,17,13,2022,https://doi.org/10.1017/S2045381720000386
Wolkenstein Global Justice Theory Practice Rhetoric 2020.pdf,Global Justice Theory Practice Rhetoric,Wolkenstein,Political Science,10,,2020,https://www.theglobaljusticenetwork.org/index.php/gjn/article/download/206/186
Wunsch and Blanchard Democratization 2023.pdf,Democratization,Wunsch,Political Science,23,67,2023,https://doi.org/10.1080/13510347.2022.2130260
Yesilkagit Bauer Peters and Pierre Public Administration Review 2024.pdf,Public Administration Review,Yesilkagit,Public Administration,1,175,2024,https://doi.org/10.1111/puar.13808
Zamecki and Glied Online Journal Modelling the New Europe 2020.pdf,Online Journal Modelling the New Europe,Zamecki ,Political Science,10,8,2020,https://neweurope.centre.ubbcluj.ro/wp-content/uploads/2020/12/3.pdf
